,artist,region,n,date,Rank
591,ATYPISK,Denmark,11,2019-11,2
592,Rasmus Seebach,Denmark,11,2019-11,3
593,The Minds Of 99,Denmark,8,2019-11,4
594,Gilli,Denmark,6,2019-11,5
595,Post Malone,Denmark,6,2019-11,6
596,Ude Af Kontrol,Denmark,5,2019-11,7
597,Ed Sheeran,Denmark,5,2019-11,8
598,KESI,Denmark,5,2019-11,9
599,Kanye West,Denmark,5,2019-11,10
600,Michael Bublé,Denmark,11,2019-12,1
601,Harry Styles,Denmark,11,2019-12,2
602,Juice WRLD,Denmark,9,2019-12,3
603,Billie Eilish,Denmark,7,2019-12,4
604,Gilli,Denmark,7,2019-12,5
605,Stormzy,Denmark,7,2019-12,6
606,KESI,Denmark,7,2019-12,7
607,Post Malone,Denmark,6,2019-12,8
608,Tessa,Denmark,5,2019-12,9
609,Rasmus Seebach,Denmark,5,2019-12,10
610,Justin Bieber,Denmark,16,2021-04,1
611,Billie Eilish,Denmark,6,2021-04,2
612,Pop Smoke,Denmark,5,2021-04,3
613,The Weeknd,Denmark,5,2021-04,4
614,DJ Khaled,Denmark,5,2021-04,5
615,Gobs,Denmark,4,2021-04,6
616,Lil Tjay,Denmark,4,2021-04,7
617,Fyr Og Flamme,Denmark,4,2021-04,8
618,Polo G,Denmark,4,2021-04,9
619,Drew Sycamore,Denmark,4,2021-04,10
620,Artigeardit,Denmark,16,2021-05,1
621,J. Cole,Denmark,13,2021-05,2
622,Olivia Rodrigo,Denmark,11,2021-05,3
623,Justin Bieber,Denmark,9,2021-05,4
624,Billie Eilish,Denmark,6,2021-05,5
625,Polo G,Denmark,5,2021-05,6
626,Gilli,Denmark,5,2021-05,7
627,Pop Smoke,Denmark,5,2021-05,8
628,Gobs,Denmark,4,2021-05,9
629,"Benny Jamz, Gilli, KESI, B.O.C",Denmark,4,2021-05,10
630,Polo G,Denmark,17,2021-06,1
631,"Benny Jamz, Gilli, KESI, B.O.C",Denmark,15,2021-06,2
632,Artigeardit,Denmark,15,2021-06,3
633,"Tyler, The Creator",Denmark,12,2021-06,4
634,Olivia Rodrigo,Denmark,11,2021-06,5
635,Migos,Denmark,7,2021-06,6
636,Justin Bieber,Denmark,5,2021-06,7
637,The Weeknd,Denmark,4,2021-06,8
638,Gilli,Denmark,4,2021-06,9
639,Lukas Graham,Denmark,4,2021-06,10
640,Ozuna,Dominican Republic,7,2017-02,1
641,Ed Sheeran,Dominican Republic,5,2017-02,2
642,Reik,Dominican Republic,4,2017-02,3
643,Maluma,Dominican Republic,3,2017-02,4
644,Pepe Quintana,Dominican Republic,3,2017-02,5
645,Farruko,Dominican Republic,3,2017-02,6
646,Amenazzy,Dominican Republic,3,2017-02,7
647,Adele,Dominican Republic,3,2017-02,8
648,Cosculluela,Dominican Republic,3,2017-02,9
649,Justin Bieber,Dominican Republic,3,2017-02,10
650,Shawn Mendes,Dominican Republic,10,2018-05,1
651,BTS,Dominican Republic,10,2018-05,2
652,Maluma,Dominican Republic,8,2018-05,3
653,J Balvin,Dominican Republic,8,2018-05,4
654,Romeo Santos,Dominican Republic,7,2018-05,5
655,Ozuna,Dominican Republic,7,2018-05,6
656,Post Malone,Dominican Republic,7,2018-05,7
657,Bad Bunny,Dominican Republic,4,2018-05,8
658,Ed Sheeran,Dominican Republic,4,2018-05,9
659,Manuel Medrano,Dominican Republic,4,2018-05,10
660,Bad Bunny,Dominican Republic,18,2018-12,1
661,Romeo Santos,Dominican Republic,17,2018-12,2
662,Michael Bublé,Dominican Republic,9,2018-12,3
663,Ozuna,Dominican Republic,9,2018-12,4
664,Anuel AA,Dominican Republic,7,2018-12,5
665,Ariana Grande,Dominican Republic,6,2018-12,6
666,XXXTENTACION,Dominican Republic,6,2018-12,7
667,El Alfa,Dominican Republic,6,2018-12,8
668,Aventura,Dominican Republic,6,2018-12,9
669,Vicente Garcia,Dominican Republic,5,2018-12,10
670,José José,Dominican Republic,24,2019-09,1
671,Post Malone,Dominican Republic,10,2019-09,2
672,Bad Bunny,Dominican Republic,10,2019-09,3
673,Camilo Sesto,Dominican Republic,7,2019-09,4
674,"J Balvin, Bad Bunny",Dominican Republic,6,2019-09,5
675,Paulo Londra,Dominican Republic,4,2019-09,6
676,Ozuna,Dominican Republic,4,2019-09,7
677,Romeo Santos,Dominican Republic,4,2019-09,8
678,Ed Sheeran,Dominican Republic,3,2019-09,9
679,Yiyo Sarante,Dominican Republic,3,2019-09,10
680,Bad Bunny,Dominican Republic,21,2020-05,1
681,Aventura,Dominican Republic,18,2020-05,2
682,Lady Gaga,Dominican Republic,15,2020-05,3
683,Drake,Dominican Republic,13,2020-05,4
684,Anuel AA,Dominican Republic,13,2020-05,5
685,Sech,Dominican Republic,9,2020-05,6
686,Myke Towers,Dominican Republic,8,2020-05,7
687,El Alfa,Dominican Republic,8,2020-05,8
688,Lapiz Conciente,Dominican Republic,7,2020-05,9
689,J Balvin,Dominican Republic,7,2020-05,10
690,Bad Bunny,Dominican Republic,21,2021-03,1
691,Justin Bieber,Dominican Republic,13,2021-03,2
692,Camilo,Dominican Republic,9,2021-03,3
693,"Anuel AA, Ozuna",Dominican Republic,8,2021-03,4
694,KAROL G,Dominican Republic,6,2021-03,5
695,Myke Towers,Dominican Republic,4,2021-03,6
696,J Balvin,Dominican Republic,4,2021-03,7
697,Maluma,Dominican Republic,4,2021-03,8
698,Humbe,Dominican Republic,4,2021-03,9
699,Yiyo Sarante,Dominican Republic,4,2021-03,10
700,Bruno Mars,Ecuador,10,2017-12,1
701,Morat,Ecuador,7,2017-12,2
702,Michael Bublé,Ecuador,7,2017-12,3
703,Manuel Medrano,Ecuador,6,2017-12,4
704,Ozuna,Ecuador,6,2017-12,5
705,Bad Bunny,Ecuador,5,2017-12,6
706,Ed Sheeran,Ecuador,5,2017-12,7
707,Villancicos,Ecuador,4,2017-12,8
708,Juanes,Ecuador,4,2017-12,9
709,Luis Miguel,Ecuador,4,2017-12,10
710,Bad Bunny,Ecuador,15,2018-12,1
711,Queen,Ecuador,11,2018-12,2
712,Morat,Ecuador,10,2018-12,3
713,Luis Miguel,Ecuador,7,2018-12,4
714,Ozuna,Ecuador,5,2018-12,5
715,Maluma,Ecuador,5,2018-12,6
716,Paulo Londra,Ecuador,5,2018-12,7
717,Manuel Turizo,Ecuador,4,2018-12,8
718,Ed Sheeran,Ecuador,4,2018-12,9
719,Fonseca,Ecuador,4,2018-12,10
720,Bad Bunny,Ecuador,11,2019-01,1
721,Morat,Ecuador,7,2019-01,2
722,Queen,Ecuador,5,2019-01,3
723,Fonseca,Ecuador,4,2019-01,4
724,Bacilos,Ecuador,4,2019-01,5
725,Reik,Ecuador,4,2019-01,6
726,Manuel Turizo,Ecuador,4,2019-01,7
727,Ed Sheeran,Ecuador,4,2019-01,8
728,Maluma,Ecuador,4,2019-01,9
729,Paulo Londra,Ecuador,4,2019-01,10
730,Sebastian Yatra,Ecuador,8,2019-04,1
731,BTS,Ecuador,7,2019-04,2
732,Morat,Ecuador,7,2019-04,3
733,Billie Eilish,Ecuador,7,2019-04,4
734,Sech,Ecuador,6,2019-04,5
735,Bad Bunny,Ecuador,5,2019-04,6
736,Paulo Londra,Ecuador,5,2019-04,7
737,Reik,Ecuador,4,2019-04,8
738,Manuel Turizo,Ecuador,4,2019-04,9
739,Queen,Ecuador,4,2019-04,10
740,Paulo Londra,Ecuador,18,2019-05,1
741,Morat,Ecuador,7,2019-05,2
742,Maluma,Ecuador,6,2019-05,3
743,Danny Ocean,Ecuador,5,2019-05,4
744,Bad Bunny,Ecuador,5,2019-05,5
745,Greeicy,Ecuador,4,2019-05,6
746,Fonseca,Ecuador,4,2019-05,7
747,Ed Sheeran,Ecuador,4,2019-05,8
748,Billie Eilish,Ecuador,4,2019-05,9
749,Sebastian Yatra,Ecuador,4,2019-05,10
750,The Weeknd,Ecuador,14,2020-03,1
751,Bad Bunny,Ecuador,13,2020-03,2
752,Dua Lipa,Ecuador,11,2020-03,3
753,J Balvin,Ecuador,8,2020-03,4
754,Myke Towers,Ecuador,4,2020-03,5
755,Camilo,Ecuador,3,2020-03,6
756,Maluma,Ecuador,3,2020-03,7
757,Piso 21,Ecuador,3,2020-03,8
758,Danna Paola,Ecuador,3,2020-03,9
759,Billie Eilish,Ecuador,3,2020-03,10
760,Maluma,Ecuador,23,2020-08,1
761,Bad Bunny,Ecuador,7,2020-08,2
762,J Balvin,Ecuador,7,2020-08,3
763,Camilo,Ecuador,5,2020-08,4
764,BTS,Ecuador,3,2020-08,5
765,Reik,Ecuador,3,2020-08,6
766,Anuel AA,Ecuador,3,2020-08,7
767,BLACKPINK,Ecuador,2,2020-08,8
768,Tainy,Ecuador,2,2020-08,9
769,Aya Nakamura,Ecuador,2,2020-08,10
770,Bad Bunny,Ecuador,21,2020-11,1
771,BTS,Ecuador,10,2020-11,2
772,J Balvin,Ecuador,6,2020-11,3
773,Camilo,Ecuador,5,2020-11,4
774,ArAlViGo,Ecuador,5,2020-11,5
775,Maluma,Ecuador,4,2020-11,6
776,Christian Nodal,Ecuador,3,2020-11,7
777,Harry Styles,Ecuador,3,2020-11,8
778,Rauw Alejandro,Ecuador,3,2020-11,9
779,Dua Lipa,Ecuador,3,2020-11,10
780,Bad Bunny,Ecuador,14,2021-10,1
781,Rauw Alejandro,Ecuador,5,2021-10,2
782,KAROL G,Ecuador,5,2021-10,3
783,Paulo Londra,Ecuador,5,2021-10,4
784,Adele,Ecuador,4,2021-10,5
785,Olivia Rodrigo,Ecuador,4,2021-10,6
786,Sech,Ecuador,3,2021-10,7
787,Don Omar,Ecuador,3,2021-10,8
788,BTS,Ecuador,3,2021-10,9
789,Lil Nas X,Ecuador,3,2021-10,10
790,Post Malone,Egypt,10,2019-09,1
791,Amr Diab,Egypt,5,2019-09,2
792,Halsey,Egypt,2,2019-09,3
793,Ed Sheeran,Egypt,2,2019-09,4
794,Cairokee,Egypt,2,2019-09,5
795,Imagine Dragons,Egypt,2,2019-09,6
796,Camila Cabello,Egypt,2,2019-09,7
797,Lil Nas X,Egypt,2,2019-09,8
798,Tamer Ashour,Egypt,2,2019-09,9
799,Mohamed Hamaki,Egypt,2,2019-09,10
800,Wegz,Egypt,14,2021-06,1
801,Marwan Pablo,Egypt,10,2021-06,2
802,Olivia Rodrigo,Egypt,7,2021-06,3
803,Marwan Moussa,Egypt,7,2021-06,4
804,BTS,Egypt,7,2021-06,5
805,XXXTENTACION,Egypt,6,2021-06,6
806,Billie Eilish,Egypt,6,2021-06,7
807,Lege-Cy,Egypt,6,2021-06,8
808,Abyusif,Egypt,5,2021-06,9
809,EXO,Egypt,5,2021-06,10
810,La Sonora Dinamita,El Salvador,7,2017-12,1
811,Ozuna,El Salvador,6,2017-12,2
812,Los Hermanos Flores,El Salvador,6,2017-12,3
813,Aniceto Molina,El Salvador,5,2017-12,4
814,Ricardo Arjona,El Salvador,5,2017-12,5
815,Bad Bunny,El Salvador,5,2017-12,6
816,Ed Sheeran,El Salvador,5,2017-12,7
817,Banda MS de Sergio Lizárraga,El Salvador,4,2017-12,8
818,Charlie Puth,El Salvador,3,2017-12,9
819,Piso 21,El Salvador,3,2017-12,10
820,Bad Bunny,El Salvador,7,2019-04,1
821,BTS,El Salvador,7,2019-04,2
822,Billie Eilish,El Salvador,7,2019-04,3
823,Sebastian Yatra,El Salvador,7,2019-04,4
824,Queen,El Salvador,5,2019-04,5
825,Paulo Londra,El Salvador,5,2019-04,6
826,Post Malone,El Salvador,4,2019-04,7
827,Ariana Grande,El Salvador,4,2019-04,8
828,Danny Ocean,El Salvador,4,2019-04,9
829,Ed Sheeran,El Salvador,4,2019-04,10
830,Bad Bunny,El Salvador,13,2020-04,1
831,J Balvin,El Salvador,8,2020-04,2
832,Dua Lipa,El Salvador,7,2020-04,3
833,Camilo,El Salvador,6,2020-04,4
834,Travis Scott,El Salvador,5,2020-04,5
835,Myke Towers,El Salvador,4,2020-04,6
836,Morat,El Salvador,4,2020-04,7
837,The Weeknd,El Salvador,4,2020-04,8
838,Christian Nodal,El Salvador,4,2020-04,9
839,Maluma,El Salvador,3,2020-04,10
840,Bad Bunny,El Salvador,18,2020-05,1
841,Lady Gaga,El Salvador,15,2020-05,2
842,Anuel AA,El Salvador,13,2020-05,3
843,J Balvin,El Salvador,8,2020-05,4
844,Agust D,El Salvador,7,2020-05,5
845,Christian Nodal,El Salvador,5,2020-05,6
846,Travis Scott,El Salvador,4,2020-05,7
847,Camilo,El Salvador,4,2020-05,8
848,Sech,El Salvador,3,2020-05,9
849,Maluma,El Salvador,3,2020-05,10
850,Olivia Rodrigo,El Salvador,11,2021-05,1
851,Bad Bunny,El Salvador,11,2021-05,2
852,BTS,El Salvador,11,2021-05,3
853,Christian Nodal,El Salvador,7,2021-05,4
854,Rauw Alejandro,El Salvador,5,2021-05,5
855,Sech,El Salvador,4,2021-05,6
856,Camilo,El Salvador,4,2021-05,7
857,Dua Lipa,El Salvador,4,2021-05,8
858,J Balvin,El Salvador,3,2021-05,9
859,The Weeknd,El Salvador,3,2021-05,10
860,Post Malone,Estonia,18,2018-04,1
861,Avicii,Estonia,15,2018-04,2
862,Reket,Estonia,14,2018-04,3
863,J. Cole,Estonia,12,2018-04,4
864,The Weeknd,Estonia,5,2018-04,5
865,Camila Cabello,Estonia,2,2018-04,6
866,The Chainsmokers,Estonia,2,2018-04,7
867,Drake,Estonia,2,2018-04,8
868,Shawn Mendes,Estonia,2,2018-04,9
869,XXXTENTACION,Estonia,2,2018-04,10
870,XXXTENTACION,Estonia,13,2018-12,1
871,Michael Bublé,Estonia,8,2018-12,2
872,Queen,Estonia,5,2018-12,3
873,Billie Eilish,Estonia,5,2018-12,4
874,Ariana Grande,Estonia,5,2018-12,5
875,21 Savage,Estonia,4,2018-12,6
876,Dean Martin,Estonia,4,2018-12,7
877,Bing Crosby,Estonia,4,2018-12,8
878,Mariah Carey,Estonia,4,2018-12,9
879,Frank Sinatra,Estonia,4,2018-12,10
880,Billie Eilish,Estonia,15,2019-03,1
881,Juice WRLD,Estonia,5,2019-03,2
882,Ariana Grande,Estonia,4,2019-03,3
883,XXXTENTACION,Estonia,3,2019-03,4
884,Post Malone,Estonia,3,2019-03,5
885,benny blanco,Estonia,2,2019-03,6
886,Khalid,Estonia,2,2019-03,7
887,A Boogie Wit da Hoodie,Estonia,2,2019-03,8
888,"Sander Mölder, NOËP",Estonia,2,2019-03,9
889,nublu,Estonia,2,2019-03,10
890,Kanye West,Estonia,6,2019-10,1
891,Post Malone,Estonia,5,2019-10,2
892,nublu,Estonia,4,2019-10,3
893,Ed Sheeran,Estonia,4,2019-10,4
894,Billie Eilish,Estonia,3,2019-10,5
895,Ariana Grande,Estonia,3,2019-10,6
896,Lizzo,Estonia,3,2019-10,7
897,Camila Cabello,Estonia,3,2019-10,8
898,Lewis Capaldi,Estonia,2,2019-10,9
899,Travis Scott,Estonia,2,2019-10,10
900,Juice WRLD,Estonia,20,2020-07,1
901,Taylor Swift,Estonia,15,2020-07,2
902,Pop Smoke,Estonia,8,2020-07,3
903,nublu,Estonia,6,2020-07,4
904,Travis Scott,Estonia,3,2020-07,5
905,Billie Eilish,Estonia,3,2020-07,6
906,Lewis Capaldi,Estonia,2,2020-07,7
907,Trevor Daniel,Estonia,2,2020-07,8
908,6ix9ine,Estonia,2,2020-07,9
909,DJ Khaled,Estonia,2,2020-07,10
910,nublu,Estonia,4,2021-04,1
911,Justin Bieber,Estonia,4,2021-04,2
912,"Pitsa, Reket, kohver, boipepperoni",Estonia,3,2021-04,3
913,NOËP,Estonia,3,2021-04,4
914,The Weeknd,Estonia,3,2021-04,5
915,Dua Lipa,Estonia,3,2021-04,6
916,"Young Stoner Life, Young Thug, Gunna",Estonia,3,2021-04,7
917,"Villemdrillem, boipepperoni",Estonia,2,2021-04,8
918,Billie Eilish,Estonia,2,2021-04,9
919,Olivia Rodrigo,Estonia,2,2021-04,10
920,JVG,Finland,15,2017-09,1
921,Antti Tuisku,Finland,12,2017-09,2
922,SANNI,Finland,8,2017-09,3
923,BTS,Finland,7,2017-09,4
924,"Profeetat, Cheek, Elastinen",Finland,6,2017-09,5
925,Cheek,Finland,6,2017-09,6
926,Foo Fighters,Finland,6,2017-09,7
927,Slim Mill,Finland,5,2017-09,8
928,Kaija Koo,Finland,5,2017-09,9
929,Haloo Helsinki!,Finland,5,2017-09,10
930,Post Malone,Finland,18,2019-09,1
931,Ellinoora,Finland,13,2019-09,2
932,JVG,Finland,11,2019-09,3
933,Kube,Finland,9,2019-09,4
934,Antti Tuisku,Finland,9,2019-09,5
935,Ed Sheeran,Finland,8,2019-09,6
936,Lauri Tähkä,Finland,8,2019-09,7
937,TOOL,Finland,6,2019-09,8
938,Vesala,Finland,6,2019-09,9
939,Gettomasa,Finland,6,2019-09,10
940,Michael Bublé,Finland,14,2020-12,1
941,Eminem,Finland,14,2020-12,2
942,Suvi Teräsniska,Finland,14,2020-12,3
943,Reino Nordin,Finland,10,2020-12,4
944,Playboi Carti,Finland,10,2020-12,5
945,Jannika B,Finland,10,2020-12,6
946,STIG,Finland,10,2020-12,7
947,BEHM,Finland,10,2020-12,8
948,Ressu Redford,Finland,9,2020-12,9
949,"Vesku Jokinen, Klamydia",Finland,9,2020-12,10
950,Alonzo,France,13,2017-08,1
951,Damso,France,12,2017-08,2
952,PNL,France,7,2017-08,3
953,Aya Nakamura,France,7,2017-08,4
954,Sadek,France,5,2017-08,5
955,Niska,France,4,2017-08,6
956,Jul,France,4,2017-08,7
957,Sofiane,France,4,2017-08,8
958,Ninho,France,4,2017-08,9
959,MHD,France,4,2017-08,10
960,Sadek,France,19,2017-09,1
961,Ninho,France,17,2017-09,2
962,Niska,France,15,2017-09,3
963,Hornet La Frappe,France,15,2017-09,4
964,Naza,France,14,2017-09,5
965,Damso,France,12,2017-09,6
966,Alonzo,France,11,2017-09,7
967,Hugo TSR,France,9,2017-09,8
968,Jul,France,7,2017-09,9
969,PNL,France,6,2017-09,10
970,Orelsan,France,17,2017-10,1
971,Ninho,France,15,2017-10,2
972,Niska,France,15,2017-10,3
973,Hornet La Frappe,France,15,2017-10,4
974,Hamza,France,14,2017-10,5
975,Damso,France,10,2017-10,6
976,Sadek,France,6,2017-10,7
977,PNL,France,5,2017-10,8
978,Naza,France,5,2017-10,9
979,Jul,France,5,2017-10,10
980,GIMS,France,33,2018-03,1
981,Ninho,France,19,2018-03,2
982,XXXTENTACION,France,18,2018-03,3
983,Marwa Loud,France,15,2018-03,4
984,Naps,France,15,2018-03,5
985,Damso,France,12,2018-03,6
986,PLK,France,12,2018-03,7
987,Vald,France,12,2018-03,8
988,Lorenzo,France,11,2018-03,9
989,Eddy de Pretto,France,11,2018-03,10
990,Damso,France,32,2018-06,1
991,XXXTENTACION,France,30,2018-06,2
992,Drake,France,22,2018-06,3
993,Moha La Squale,France,16,2018-06,4
994,Jul,France,16,2018-06,5
995,Ninho,France,10,2018-06,6
996,Caballero & JeanJass,France,9,2018-06,7
997,Timal,France,7,2018-06,8
998,Vegedream,France,7,2018-06,9
999,PNL,France,7,2018-06,10
1000,Ed Sheeran,Germany,17,2017-04,1
1001,Ufo361,Germany,16,2017-04,2
1002,Kontra K,Germany,16,2017-04,3
1003,Kendrick Lamar,Germany,14,2017-04,4
1004,Zuna,Germany,10,2017-04,5
1005,The Chainsmokers,Germany,7,2017-04,6
1006,Drake,Germany,5,2017-04,7
1007,"Bonez MC, RAF Camora",Germany,4,2017-04,8
1008,Luciano,Germany,4,2017-04,9
1009,Major Lazer,Germany,3,2017-04,10
1010,XXXTENTACION,Germany,27,2018-06,1
1011,Drake,Germany,22,2018-06,2
1012,RIN,Germany,13,2018-06,3
1013,Capital Bra,Germany,12,2018-06,4
1014,Gzuz,Germany,9,2018-06,5
1015,Kanye West,Germany,5,2018-06,6
1016,"Kollegah, Farid Bang",Germany,5,2018-06,7
1017,Post Malone,Germany,5,2018-06,8
1018,Kontra K,Germany,4,2018-06,9
1019,RAF Camora,Germany,4,2018-06,10
1020,Die Ärzte,Germany,18,2020-10,1
1021,Bonez MC,Germany,16,2020-10,2
1022,"KC Rebell, Summer Cem",Germany,15,2020-10,3
1023,Ariana Grande,Germany,14,2020-10,4
1024,"Ufo361, Sonus030",Germany,10,2020-10,5
1025,Kontra K,Germany,9,2020-10,6
1026,Apache 207,Germany,7,2020-10,7
1027,Pop Smoke,Germany,7,2020-10,8
1028,"21 Savage, Metro Boomin",Germany,6,2020-10,9
1029,Juice WRLD,Germany,5,2020-10,10
1030,Kanye West,Germany,27,2021-08,1
1031,Billie Eilish,Germany,15,2021-08,2
1032,Olivia Rodrigo,Germany,5,2021-08,3
1033,t-low,Germany,4,2021-08,4
1034,The Weeknd,Germany,4,2021-08,5
1035,Doja Cat,Germany,4,2021-08,6
1036,Luciano,Germany,4,2021-08,7
1037,Shirin David,Germany,3,2021-08,8
1038,Ed Sheeran,Germany,3,2021-08,9
1039,BTS,Germany,3,2021-08,10
1040,Ed Sheeran,Global,25,2017-03,1
1041,Drake,Global,15,2017-03,2
1042,Zara Larsson,Global,7,2017-03,3
1043,Future,Global,4,2017-03,4
1044,Gorillaz,Global,4,2017-03,5
1045,Major Lazer,Global,4,2017-03,6
1046,Twenty One Pilots,Global,3,2017-03,7
1047,Migos,Global,3,2017-03,8
1048,Shawn Mendes,Global,3,2017-03,9
1049,Sia,Global,3,2017-03,10
1050,Metro Boomin,Global,13,2018-11,1
1051,Queen,Global,11,2018-11,2
1052,Lil Baby,Global,11,2018-11,3
1053,Imagine Dragons,Global,11,2018-11,4
1054,XXXTENTACION,Global,10,2018-11,5
1055,Lil Peep,Global,9,2018-11,6
1056,Meek Mill,Global,8,2018-11,7
1057,Salmo,Global,8,2018-11,8
1058,Billie Eilish,Global,7,2018-11,9
1059,Ski Mask The Slump God,Global,6,2018-11,10
1060,Future,Global,11,2019-01,1
1061,XXXTENTACION,Global,10,2019-01,2
1062,Billie Eilish,Global,7,2019-01,3
1063,Queen,Global,6,2019-01,4
1064,Ariana Grande,Global,6,2019-01,5
1065,Post Malone,Global,5,2019-01,6
1066,Ed Sheeran,Global,5,2019-01,7
1067,Khalid,Global,4,2019-01,8
1068,Drake,Global,4,2019-01,9
1069,Travis Scott,Global,4,2019-01,10
1070,Juice WRLD,Global,22,2019-03,1
1071,Billie Eilish,Global,17,2019-03,2
1072,Ariana Grande,Global,12,2019-03,3
1073,Ninho,Global,9,2019-03,4
1074,Queen,Global,6,2019-03,5
1075,Ed Sheeran,Global,5,2019-03,6
1076,Khalid,Global,5,2019-03,7
1077,Post Malone,Global,5,2019-03,8
1078,Bad Bunny,Global,5,2019-03,9
1079,XXXTENTACION,Global,5,2019-03,10
1080,Kanye West,Global,27,2021-08,1
1081,Billie Eilish,Global,18,2021-08,2
1082,Trippie Redd,Global,12,2021-08,3
1083,Olivia Rodrigo,Global,10,2021-08,4
1084,Lorde,Global,10,2021-08,5
1085,Doja Cat,Global,6,2021-08,6
1086,The Weeknd,Global,5,2021-08,7
1087,Halsey,Global,5,2021-08,8
1088,BTS,Global,4,2021-08,9
1089,Ed Sheeran,Global,4,2021-08,10
1090,Eminem,Greece,18,2020-01,1
1091,Selena Gomez,Greece,13,2020-01,2
1092,Billie Eilish,Greece,12,2020-01,3
1093,TOQUEL,Greece,7,2020-01,4
1094,"GODSQUAD, DJ.Silence",Greece,6,2020-01,5
1095,Light,Greece,6,2020-01,6
1096,LEX,Greece,6,2020-01,7
1097,Halsey,Greece,6,2020-01,8
1098,Saske,Greece,5,2020-01,9
1099,Mac Miller,Greece,5,2020-01,10
1100,Bloody Hawk,Greece,16,2021-11,1
1101,Adele,Greece,15,2021-11,2
1102,Light,Greece,9,2021-11,3
1103,Mad Clip,Greece,8,2021-11,4
1104,"Light, Hawk",Greece,5,2021-11,5
1105,Immune,Greece,5,2021-11,6
1106,Taylor Swift,Greece,5,2021-11,7
1107,Måneskin,Greece,4,2021-11,8
1108,The Weeknd,Greece,4,2021-11,9
1109,Drake,Greece,3,2021-11,10
1110,Bad Bunny,Guatemala,13,2020-06,1
1111,Christian Nodal,Guatemala,9,2020-06,2
1112,Anuel AA,Guatemala,8,2020-06,3
1113,J Balvin,Guatemala,7,2020-06,4
1114,Ricardo Arjona,Guatemala,6,2020-06,5
1115,Camilo,Guatemala,5,2020-06,6
1116,La Adictiva Banda San José de Mesillas,Guatemala,3,2020-06,7
1117,Banda MS de Sergio Lizárraga,Guatemala,3,2020-06,8
1118,Rauw Alejandro,Guatemala,2,2020-06,9
1119,"Anuel AA, Bad Bunny",Guatemala,2,2020-06,10
1120,Christian Nodal,Guatemala,19,2020-09,1
1121,Bad Bunny,Guatemala,12,2020-09,2
1122,"RBD, Anahí, Dulce María, Maite Perroni, Christian Chávez, Christopher von Uckermann, Alfonso Herrera",Guatemala,9,2020-09,3
1123,Camilo,Guatemala,6,2020-09,4
1124,Maluma,Guatemala,5,2020-09,5
1125,J Balvin,Guatemala,4,2020-09,6
1126,Malacates Trebol Shop,Guatemala,3,2020-09,7
1127,Rauw Alejandro,Guatemala,3,2020-09,8
1128,Carin Leon,Guatemala,3,2020-09,9
1129,Banda MS de Sergio Lizárraga,Guatemala,3,2020-09,10
1130,Taylor Swift,Honduras,11,2019-08,1
1131,Bad Bunny,Honduras,7,2019-08,2
1132,"J Balvin, Bad Bunny",Honduras,6,2019-08,3
1133,Sam Smith,Honduras,5,2019-08,4
1134,Manuel Turizo,Honduras,5,2019-08,5
1135,Ed Sheeran,Honduras,5,2019-08,6
1136,Maluma,Honduras,5,2019-08,7
1137,Christian Nodal,Honduras,4,2019-08,8
1138,Paulo Londra,Honduras,4,2019-08,9
1139,Post Malone,Honduras,3,2019-08,10
1140,Bad Bunny,Honduras,8,2019-11,1
1141,Sam Smith,Honduras,5,2019-11,2
1142,Ozuna,Honduras,5,2019-11,3
1143,"J Balvin, Bad Bunny",Honduras,4,2019-11,4
1144,Ed Sheeran,Honduras,4,2019-11,5
1145,Morat,Honduras,4,2019-11,6
1146,Christian Nodal,Honduras,4,2019-11,7
1147,Maluma,Honduras,3,2019-11,8
1148,Post Malone,Honduras,3,2019-11,9
1149,Reik,Honduras,3,2019-11,10
1150,Harry Styles,Honduras,8,2019-12,1
1151,Bad Bunny,Honduras,8,2019-12,2
1152,Arcangel,Honduras,6,2019-12,3
1153,Eddy Herrera,Honduras,4,2019-12,4
1154,Luis Miguel,Honduras,4,2019-12,5
1155,Sam Smith,Honduras,4,2019-12,6
1156,Ozuna,Honduras,4,2019-12,7
1157,Christian Nodal,Honduras,4,2019-12,8
1158,Ed Sheeran,Honduras,4,2019-12,9
1159,Morat,Honduras,4,2019-12,10
1160,Sam Smith,Hong Kong,16,2017-11,1
1161,Eason Chan,Hong Kong,10,2017-11,2
1162,Jay Chou,Hong Kong,8,2017-11,3
1163,Maroon 5,Hong Kong,6,2017-11,4
1164,Jason Chan,Hong Kong,6,2017-11,5
1165,JJ Lin,Hong Kong,5,2017-11,6
1166,Ed Sheeran,Hong Kong,5,2017-11,7
1167,Dear Jane,Hong Kong,5,2017-11,8
1168,Taylor Swift,Hong Kong,5,2017-11,9
1169,Charlie Puth,Hong Kong,5,2017-11,10
1170,Billie Eilish,Hong Kong,10,2019-05,1
1171,Hins Cheung,Hong Kong,9,2019-05,2
1172,Ed Sheeran,Hong Kong,7,2019-05,3
1173,BTS,Hong Kong,7,2019-05,4
1174,BLACKPINK,Hong Kong,6,2019-05,5
1175,Joey Yung,Hong Kong,6,2019-05,6
1176,JJ Lin,Hong Kong,5,2019-05,7
1177,Shawn Mendes,Hong Kong,5,2019-05,8
1178,Ariana Grande,Hong Kong,5,2019-05,9
1179,Khalid,Hong Kong,5,2019-05,10
1180,Billie Eilish,Hong Kong,13,2020-01,1
